section,n_glyphs,status,connective,n_slots,period,Pi_robust,slot_cv,z_A,p_A,z_B,p_B,Pi_aug,p_B_aug,result
Aa:w00,104,evaluable,022bfy,6,11.5,0.2628,0.4286,-2.27,0.997,-3.04,0.999,0.2376,0.998,null
Aa:w01,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Aa:w02,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Aa:w03,104,evaluable,011,6,13.2,0.3653,0.6617,-1.52,0.95,-1.44,0.9371,0.3653,0.9301,null
Aa:w04,104,evaluable,600,9,14.5,0.3358,0.6929,-1.67,0.965,-1.87,0.978,0.3358,0.97,null
Aa:w05,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Aa:w06,104,evaluable,004,8,13.3,0.3594,1.0498,-1.49,0.9381,-1.46,0.9431,0.3594,0.9271,null
Aa:w07,104,evaluable,004,9,11.5,0.591,0.7516,0.07,0.4446,0.29,0.3786,0.591,0.3716,null
Aa:w08,104,evaluable,004,7,11.5,0.678,0.8478,1.56,0.0739,2.0,0.036,0.678,0.1678,null
Aa:w09,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Aa:w10,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Aa:w11,104,evaluable,002a,6,14.5,0.6559,1.1359,1.0,0.1658,0.3,0.3936,0.6559,0.3776,null
Aa:w12,104,evaluable,002a,9,13.1,0.6191,1.0289,1.65,0.0599,0.86,0.1968,0.6191,0.3856,null
Aa:w13,104,evaluable,002a,6,14.5,0.7825,1.0851,1.86,0.045,1.29,0.1039,0.8891,0.041,null
Aa:w14,104,evaluable,025a,6,13.25,0.4781,0.611,-0.23,0.5704,0.01,0.4885,0.4938,0.6034,null
Aa:w15,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Aa:w16,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
